LOCATION,Country name,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,Australia,SMOKERS,TOT,PC_POP15,A,2013,13,
AUS,Australia,SMOKERS,TOT,PC_POP15,A,2016,12.4,
AUT,Austria,SMOKERS,TOT,PC_POP15,A,2014,24.3,
BEL,Belgium,SMOKERS,TOT,PC_POP15,A,2013,18.9,
BEL,Belgium,SMOKERS,TOT,PC_POP15,A,2018,15.4,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2011,15.7,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2012,16.1,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2013,14.9,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2014,14,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2015,13.1,B
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2016,12.5,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2017,12,
CAN,Canada,SMOKERS,TOT,PC_POP15,A,2018,11.3,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2011,21.7,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2012,22.9,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2013,22.2,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2014,22.3,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2015,18.2,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2016,19.6,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2017,18.4,
CZE,Czech Republic,SMOKERS,TOT,PC_POP15,A,2018,21.1,
DNK,Denmark,SMOKERS,TOT,PC_POP15,A,2013,17,
DNK,Denmark,SMOKERS,TOT,PC_POP15,A,2017,16.9,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2011,17.8,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2012,17,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2013,15.8,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2014,15.4,
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2015,17.4,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2016,15,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2017,13,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2018,14,D
FIN,Finland,SMOKERS,TOT,PC_POP15,A,2019,13,
FRA,France,SMOKERS,TOT,PC_POP15,A,2014,28.5,
FRA,France,SMOKERS,TOT,PC_POP15,A,2016,29.4,
FRA,France,SMOKERS,TOT,PC_POP15,A,2017,26.9,
FRA,France,SMOKERS,TOT,PC_POP15,A,2018,25.4,
DEU,Germany,SMOKERS,TOT,PC_POP15,A,2013,20.9,
DEU,Germany,SMOKERS,TOT,PC_POP15,A,2017,18.8,
GRC,Greece,SMOKERS,TOT,PC_POP15,A,2014,27.3,
GRC,Greece,SMOKERS,TOT,PC_POP15,A,2017,35,B
HUN,Hungary,SMOKERS,TOT,PC_POP15,A,2014,25.8,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2011,14.3,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2012,13.8,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2013,11.4,
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2014,12.6,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2015,10.9,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2016,10.2,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2017,9.4,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2018,8.6,D
ISL,Iceland,SMOKERS,TOT,PC_POP15,A,2019,8.2,D
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2015,19,B
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2016,19,
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2017,18,
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2018,17,
IRL,Ireland,SMOKERS,TOT,PC_POP15,A,2019,14,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2011,22.5,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2012,22.1,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2013,21.1,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2014,19.7,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2015,19.8,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2016,20,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2017,19.9,
ITA,Italy,SMOKERS,TOT,PC_POP15,A,2018,19.2,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2011,20.1,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2012,20.7,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2013,19.3,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2014,19.6,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2015,18.2,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2016,18.3,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2017,17.7,
JPN,Japan,SMOKERS,TOT,PC_POP15,A,2018,17.8,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2011,23.2,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2012,21.6,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2013,19.9,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2014,20,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2015,17.3,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2016,18.4,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2017,17.5,
KOR,Republic of Korea,SMOKERS,TOT,PC_POP15,A,2018,17.5,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2011,16.9,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2012,16.8,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2013,15.7,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2014,15.3,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2015,15,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2016,14.9,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2017,16,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2018,14.5,
LUX,Luxembourg,SMOKERS,TOT,PC_POP15,A,2019,16.8,
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2011,10.3,D
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2012,11.8,D
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2015,7.6,
MEX,Mexico,SMOKERS,TOT,PC_POP15,A,2017,7.6,D
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2011,20.8,
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2012,18.4,
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2013,18.5,
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2014,19.1,B
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2015,19,
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2016,18,
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2017,16.8,
NLD,Netherlands,SMOKERS,TOT,PC_POP15,A,2018,15.5,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2012,16.3,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2013,15.6,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2014,15.7,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2015,15,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2016,14.2,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2017,13.8,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2018,13.1,
NZL,New Zealand,SMOKERS,TOT,PC_POP15,A,2019,12.5,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2011,17,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2012,16,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2013,15,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2014,13,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2015,13,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2016,12,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2017,11,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2018,12,
NOR,Norway,SMOKERS,TOT,PC_POP15,A,2019,9,
POL,Poland,SMOKERS,TOT,PC_POP15,A,2014,22.7,
PRT,Portugal,SMOKERS,TOT,PC_POP15,A,2014,16.8,
SVK,Slovakia,SMOKERS,TOT,PC_POP15,A,2014,22.9,
ESP,Spain,SMOKERS,TOT,PC_POP15,A,2011,23.9,
ESP,Spain,SMOKERS,TOT,PC_POP15,A,2014,23,
ESP,Spain,SMOKERS,TOT,PC_POP15,A,2017,22.1,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2011,13.1,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2012,12.8,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2013,10.7,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2014,11.9,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2015,11.2,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2016,10.9,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2017,10.4,
SWE,Sweden,SMOKERS,TOT,PC_POP15,A,2018,10.1,
CHE,Switzerland,SMOKERS,TOT,PC_POP15,A,2012,20.4,
CHE,Switzerland,SMOKERS,TOT,PC_POP15,A,2017,19.1,
TUR,Turkey,SMOKERS,TOT,PC_POP15,A,2012,23.8,
TUR,Turkey,SMOKERS,TOT,PC_POP15,A,2014,27.3,
TUR,Turkey,SMOKERS,TOT,PC_POP15,A,2016,26.5,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2011,20,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2012,20,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2013,19,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2014,19,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2015,17.8,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2016,16.1,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2017,16.8,
GBR,United Kingdom,SMOKERS,TOT,PC_POP15,A,2018,16.6,
USA,United States,SMOKERS,TOT,PC_POP15,A,2011,14.8,
USA,United States,SMOKERS,TOT,PC_POP15,A,2012,14.2,
USA,United States,SMOKERS,TOT,PC_POP15,A,2013,13.7,
USA,United States,SMOKERS,TOT,PC_POP15,A,2014,12.9,
USA,United States,SMOKERS,TOT,PC_POP15,A,2015,11.4,
USA,United States,SMOKERS,TOT,PC_POP15,A,2016,11.8,
USA,United States,SMOKERS,TOT,PC_POP15,A,2017,10.5,
USA,United States,SMOKERS,TOT,PC_POP15,A,2018,10.3,
BRA,Brazil,SMOKERS,TOT,PC_POP15,A,2011,13.4,
BRA,Brazil,SMOKERS,TOT,PC_POP15,A,2012,12.1,
BRA,Brazil,SMOKERS,TOT,PC_POP15,A,2013,11.3,
BRA,Brazil,SMOKERS,TOT,PC_POP15,A,2014,8.7,D
BRA,Brazil,SMOKERS,TOT,PC_POP15,A,2015,7.2,
BRA,Brazil,SMOKERS,TOT,PC_POP15,A,2016,10.2,
BRA,Brazil,SMOKERS,TOT,PC_POP15,A,2017,10.1,
CHL,Chile,SMOKERS,TOT,PC_POP15,A,2016,24.5,
CHN,China,SMOKERS,TOT,PC_POP15,A,2012,25.5,
CHN,China,SMOKERS,TOT,PC_POP15,A,2015,24.7,
EST,Estonia,SMOKERS,TOT,PC_POP15,A,2012,26,
EST,Estonia,SMOKERS,TOT,PC_POP15,A,2014,22.1,
EST,Estonia,SMOKERS,TOT,PC_POP15,A,2016,21.3,
EST,Estonia,SMOKERS,TOT,PC_POP15,A,2018,17.2,
IND,India,SMOKERS,TOT,PC_POP15,A,2012,12.6,
IND,India,SMOKERS,TOT,PC_POP15,A,2015,11.2,
IDN,Indonesia,SMOKERS,TOT,PC_POP15,A,2012,37.9,
IDN,Indonesia,SMOKERS,TOT,PC_POP15,A,2015,39.9,
ISR,Israel,SMOKERS,TOT,PC_POP15,A,2013,16.2,
ISR,Israel,SMOKERS,TOT,PC_POP15,A,2014,17.1,
ISR,Israel,SMOKERS,TOT,PC_POP15,A,2016,19.6,B
ISR,Israel,SMOKERS,TOT,PC_POP15,A,2017,16.9,
RUS,Russian Federation,SMOKERS,TOT,PC_POP15,A,2016,30.3,B
RUS,Russian Federation,SMOKERS,TOT,PC_POP15,A,2017,27.5,B
RUS,Russian Federation,SMOKERS,TOT,PC_POP15,A,2018,26.7,
SVN,Slovenia,SMOKERS,TOT,PC_POP15,A,2014,18.9,
ZAF,South Africa,SMOKERS,TOT,PC_POP15,A,2012,19.8,
ZAF,South Africa,SMOKERS,TOT,PC_POP15,A,2015,19,
COL,Colombia,SMOKERS,TOT,PC_POP15,A,2013,13,D
LVA,Latvia,SMOKERS,TOT,PC_POP15,A,2014,24.1,
LTU,Lithuania,SMOKERS,TOT,PC_POP15,A,2014,20.3,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2011,7.7,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2012,7.2,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2013,6.7,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2014,6.2,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2015,5.8,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2016,5.2,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2017,4.7,
CRI,Costa Rica,SMOKERS,TOT,PC_POP15,A,2018,4.2,